"","team","location","date","link"
"1","Charlotte","Charlotte, N.C.","Feb 7","http://www.charlotte49ers.com/"
"2","App State","Charlotte, N.C.","Feb 8","http://www.appstatesports.com"
"3","Charlotte","Charlotte, N.C.","Feb 8","http://www.charlotte49ers.com/"
"4","App State","Charlotte, N.C.","Feb 9","http://www.appstatesports.com"
"5","UNCG","Rock Hill, S.C.","Feb 14","http://www.uncgspartans.com/"
"6","Winthrop","Rock Hill, S.C.","Feb 14","http://www.winthropeagles.com/"
"7","Holy Cross","Rock Hill, S.C.","Feb 15","http://goholycross.com"
"8","Georgetown","Rock Hill, S.C.","Feb 15","http://www.guhoyas.com/"
"9","Boston","Rock Hill, S.C.","Feb 16","http://www.goterriers.com/"
"10","Tennessee Tech","Spartanburg, S.C.","Feb 21","http://www.ttusports.com/"
"11","Maine","Spartanburg, S.C.","Feb 21","http://www.goblackbears.com"
"12","La Salle","Spartanburg, S.C.","Feb 22","http://www.goexplorers.com/"
"13","Tennessee Tech","Spartanburg, S.C.","Feb 23","http://www.ttusports.com/"
"14","USC Upstate","Spartanburg, S.C.","Feb 23","http://upstatespartans.com"
"15","Clemson","Clemson, S.C.","Feb 28","http://www.clemsontigers.com/"
"16","Clemson","Clemson, S.C.","Feb 29","http://www.clemsontigers.com/"
"17","Clemson","Clemson, S.C.","Mar 1","http://www.clemsontigers.com/"
"18","James Madison","Palmer Park","Mar 3","http://www.jmusports.com/"
"19","Virginia Tech","Palmer Park","Mar 6","http://www.hokiesports.com/"
"20","Virginia Tech","Palmer Park","Mar 7","http://www.hokiesports.com/"
"21","Virginia Tech","Palmer Park","Mar 8","http://www.hokiesports.com/"
"22","Bucknell","Palmer Park","Mar 10","http://www.bucknellbison.com/"
"23","North Carolina","Palmer Park","Mar 13","http://goheels.com/"
"24","North Carolina","Palmer Park","Mar 14","http://goheels.com/"
"25","North Carolina","Palmer Park","Mar 15","http://goheels.com/"
"26","Hampton","Hampton, VA","Mar 17","http://www.hamptonpirates.com/"
"27","Syracuse","Syracuse, N.Y.","Mar 20","http://www.cuse.com"
"28","Syracuse","Syracuse, N.Y.","Mar 21","http://www.cuse.com"
"29","Syracuse","Syracuse, N.Y.","Mar 22","http://www.cuse.com"
"30","Liberty","Lynchburg, VA","Mar 24","http://www.libertyflames.com"
"31","Buffalo","Palmer Park","Mar 27","http://www.buffalobulls.com"
"32","Western Carolina","Palmer Park","Mar 28","http://www.catamountsports.com"
"33","Buffalo","Palmer Park","Mar 28","http://www.buffalobulls.com"
"34","Presbyterian","Palmer Park","Mar 29","http://www.gobluehose.com/"
"35","Towson","Towson, MD","Mar 31","http://www.towsontigers.com/"
"36","Georgia Tech","Palmer Park","Apr 3","http://www.ramblinwreck.com/"
"37","Georgia Tech","Palmer Park","Apr 4","http://www.ramblinwreck.com/"
"38","Georgia Tech","Palmer Park","Apr 5","http://www.ramblinwreck.com/"
"39","Longwood","Palmer Park","Apr 6","http://www.longwoodlancers.com/"
"40","Pitt","Pittsburgh, PA","Apr 10","http://www.pittsburghpanthers.com"
"41","Pitt","Pittsburgh, PA","Apr 11","http://www.pittsburghpanthers.com"
"42","Pitt","Pittsburgh, PA","Apr 12","http://www.pittsburghpanthers.com"
"43","Radford","Palmer Park","Apr 14","http://www.ruhighlanders.com/"
"44","Louisville","Palmer Park","Apr 17","http://www.gocards.com/"
"45","Louisville","Palmer Park","Apr 18","http://www.gocards.com/"
"46","Louisville","Palmer Park","Apr 19","http://www.gocards.com/"
"47","George Washington","Palmer Park","Apr 21","http://www.gwsports.com/"
"48","Florida State","Tallahassee, FL","Apr 24","http://www.seminoles.com/"
"49","Florida State","Tallahassee, FL","Apr 25","http://www.seminoles.com/"
"50","Florida State","Tallahassee, FL","Apr 26","http://www.seminoles.com/"
"51","Liberty","Palmer Park","Apr 28","http://www.libertyflames.com"
"52","2020 Virginia Softball",NA,NA,"http://www.virginiasports.com"
